pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,windspeed,rainfall,day_repaired_sin,day_repaired_cos,winddirection_sin,winddirection_cos
1019.5,23.2,22.1,20.1,18.8,82.0,69.0,1.1,20.5,0,0.5099326043901359,0.8602143564135007,0.7431448254773941,0.6691306063588582
1020.4,21.3,18.8,17.3,13.6,52.0,56.0,2.9,21.3,0,0.524704487799008,0.8512844415843512,0.7431448254773941,0.6691306063588582
1024.4,21.6,19.3,17.4,15.3,90.0,95.0,4.3,35.3,1,0.5393200344991992,0.8421008849228118,0.9945218953682733,0.10452846326765368
1017.0,21.5,20.6,18.6,17.0,91.0,88.0,0.0,14.3,1,0.5537748897605331,0.8326664226872064,0.8660254037844387,0.4999999999999999
1023.1,18.2,17.1,16.3,9.5,78.0,89.0,0.0,28.4,0,0.5680647467311557,0.8229838658936565,0.8660254037844387,0.4999999999999999
1014.4,22.9,21.4,20.0,17.8,79.0,88.0,0.0,18.4,1,0.5821853477207707,0.8130560994785325,0.7431448254773941,0.6691306063588582
1021.8,21.1,18.2,17.8,16.9,74.0,44.0,9.5,26.7,0,0.5961324854692253,0.8028860814388825,0.40673664307580015,0.9135454576426009
1023.1,20.4,17.8,14.8,15.0,75.0,43.0,9.2,11.9,0,0.6099020044000728,0.7924768419510905,0.9510565162951535,0.30901699437494745
1018.9,21.9,19.3,17.2,16.9,79.0,90.0,0.0,28.8,1,0.6234898018587335,0.7818314824680298,0.8660254037844387,0.4999999999999999
1017.1,23.4,21.7,19.6,19.0,88.0,83.0,2.3,29.6,1,0.6368918293348892,0.7709531747949796,0.7431448254773941,0.6691306063588582
1015.8,21.2,19.4,17.3,17.0,75.0,46.0,4.1,19.0,0,0.6501040936687441,0.7598451601445789,0.40673664307580015,0.9135454576426009
1013.1,21.4,20.9,19.4,17.8,83.0,88.0,0.0,20.8,1,0.6631226582407952,0.7485107481711011,0.5877852522924731,0.8090169943749475
1015.2,18.9,17.7,16.9,16.8,90.0,90.0,0.0,34.2,1,0.6759436441447543,0.7369533159843368,0.9510565162951535,0.30901699437494745
1017.4,16.1,15.5,13.6,11.4,72.0,43.0,8.8,27.3,1,0.688563231343277,0.7251763071433766,0.7431448254773941,0.6691306063588582
1016.9,17.5,15.5,14.8,14.6,91.0,91.0,0.0,33.4,1,0.7009776598061493,0.7131832306305963,0.40673664307580015,0.9135454576426009
1018.1,20.6,16.1,14.2,12.2,79.0,89.0,1.0,10.7,1,0.7131832306305963,0.7009776598061495,0.40673664307580015,0.9135454576426009
1016.5,21.6,19.2,17.5,19.0,95.0,92.0,0.3,6.9,1,0.7251763071433764,0.688563231343277,0.7431448254773941,0.6691306063588582
1016.8,21.3,19.5,17.6,17.6,75.0,70.0,2.2,16.5,0,0.7369533159843368,0.6759436441447544,0.8660254037844387,0.4999999999999999
1023.6,18.8,16.0,14.8,12.4,72.0,40.0,9.5,9.8,1,0.7485107481711011,0.6631226582407953,0.40673664307580015,0.9135454576426009
1024.4,17.2,15.6,12.8,8.6,79.0,49.0,9.1,35.3,0,0.7598451601445788,0.6501040936687442,0.40673664307580015,0.9135454576426009
1016.3,22.3,19.2,18.2,18.5,96.0,88.0,0.3,9.9,1,0.7709531747949796,0.6368918293348893,0.9945218953682733,0.10452846326765368
1019.6,18.4,17.1,16.0,16.3,93.0,93.0,0.0,19.0,1,0.7818314824680298,0.6234898018587335,0.9945218953682733,0.10452846326765368
1018.8,22.5,20.1,19.1,16.4,76.0,71.0,6.1,20.5,0,0.7924768419510905,0.6099020044000728,0.7431448254773941,0.6691306063588582
1016.5,20.6,18.1,17.0,16.3,76.0,88.0,0.0,39.5,1,0.8028860814388824,0.5961324854692255,0.9510565162951535,0.30901699437494745
1016.8,21.3,19.7,18.2,18.9,95.0,91.0,0.0,10.2,1,0.8130560994785325,0.5821853477207707,0.7431448254773941,0.6691306063588582
1012.0,20.9,20.9,19.1,14.9,86.0,80.0,1.6,13.8,0,0.8229838658936564,0.5680647467311559,0.9510565162951535,0.30901699437494745
1020.4,25.9,21.6,19.8,17.0,79.0,70.0,7.8,24.4,1,0.8326664226872064,0.5537748897605331,0.7431448254773941,0.6691306063588582
1014.4,25.3,21.9,19.1,19.6,86.0,82.0,1.6,27.3,1,0.8421008849228118,0.5393200344991992,0.7431448254773941,0.6691306063588582
1013.3,22.4,20.5,20.3,17.8,91.0,80.0,0.0,25.0,1,0.8512844415843511,0.5247044877990081,0.7431448254773941,0.6691306063588582
1018.1,21.3,20.3,19.9,18.9,92.0,88.0,0.0,28.4,1,0.8602143564135006,0.509932604390136,0.7431448254773941,0.6691306063588582
1020.4,18.2,15.9,13.5,9.9,84.0,83.0,2.3,17.2,1,0.8688879687250065,0.49500878558358147,0.9945218953682733,0.10452846326765368
1017.7,20.6,18.1,16.9,17.4,95.0,91.0,0.0,16.1,1,0.877302694199442,0.4799374779597864,0.7431448254773941,0.6691306063588582
1017.9,21.3,19.5,18.4,15.5,76.0,72.0,7.2,25.1,0,0.8854560256532099,0.4647231720437686,0.9945218953682733,0.10452846326765368
1019.4,21.6,19.6,17.0,17.9,69.0,54.0,1.0,29.6,0,0.893345533785563,0.44937040096716135,0.8660254037844387,0.4999999999999999
1022.7,14.3,12.8,10.0,8.0,63.0,95.0,0.1,24.5,1,0.9009688679024191,0.4338837391175582,0.40673664307580015,0.9135454576426009
1020.3,18.4,15.7,14.6,12.6,59.0,88.0,0.0,27.4,1,0.9083237566167539,0.4182678007755652,0.7431448254773941,0.6691306063588582
1014.2,18.4,18.0,17.2,17.4,97.0,95.0,0.0,22.9,1,0.9154080085253663,0.40252723873996754,0.7431448254773941,0.6691306063588582
1015.0,17.8,16.0,16.9,16.6,90.0,51.0,9.5,24.9,0,0.9222195128618103,0.38666674294141884,0.9510565162951535,0.30901699437494745
1014.6,25.1,20.0,19.0,19.5,72.0,47.0,10.8,28.8,0,0.9287562401253023,0.3706910390450675,0.5877852522924731,0.8090169943749475
1021.4,20.9,18.4,16.9,8.9,75.0,43.0,11.0,7.4,0,0.9350162426854147,0.3546048870425358,0.40673664307580015,0.9135454576426009
1015.6,25.2,21.8,19.1,19.9,83.0,80.0,3.4,16.5,0,0.9409976553623765,0.3384130798336704,0.9945218953682733,0.10452846326765368
1018.5,23.0,21.1,20.6,19.6,89.0,88.0,1.4,8.9,1,0.9466986959828059,0.32212044179849075,0.40673664307580015,0.9135454576426009
1017.1,26.3,23.3,19.2,18.8,84.0,61.0,7.6,24.8,1,0.9521176659107141,0.305731827359753,0.9945218953682733,0.10452846326765368
1012.0,23.1,21.6,20.4,19.9,90.0,87.0,0.5,26.0,1,0.9572529505536157,0.28925211953656776,0.7431448254773941,0.6691306063588582
1012.5,26.1,23.2,21.5,20.1,87.0,88.0,3.7,28.0,1,0.9621030198436005,0.27268622848949386,0.7431448254773941,0.6691306063588582
1014.0,25.2,23.3,22.3,21.1,89.0,88.0,0.3,20.0,1,0.9666664286932195,0.2560390900575472,0.9945218953682733,0.10452846326765368
1014.0,24.9,23.1,22.4,22.8,85.0,88.0,3.2,31.2,1,0.970941817426052,0.23931566428755782,0.9945218953682733,0.10452846326765368
1013.5,26.9,25.3,24.2,21.9,87.0,85.0,0.3,26.1,1,0.9749279121818236,0.22252093395631445,0.8660254037844387,0.4999999999999999
1011.4,27.6,20.9,19.0,13.7,77.0,91.0,0.2,15.4,1,0.9786235252959552,0.20565990308593662,0.7431448254773941,0.6691306063588582
1016.8,26.5,24.8,23.3,22.1,83.0,81.0,1.2,24.4,1,0.9820275556534303,0.1887375954529167,0.9945218953682734,-0.10452846326765333
1019.8,27.6,25.4,24.0,22.3,89.0,84.0,1.6,18.6,1,0.9851389890168738,0.17175905309127604,0.40673664307580015,0.9135454576426009
1011.0,26.3,24.9,23.0,22.0,81.0,88.0,0.2,24.4,1,0.9879568983287464,0.15472933479028145,0.7431448254773941,0.6691306063588582
1010.7,24.2,23.0,21.4,17.0,86.0,80.0,1.1,9.8,1,0.9904804439875632,0.13765351458716818,0.9945218953682733,0.10452846326765368
1008.1,28.1,25.1,23.8,22.8,86.0,83.0,4.4,17.2,1,0.992708874098054,0.120536680255323,0.9510565162951536,-0.30901699437494734
1013.0,27.2,24.8,23.4,22.3,90.0,85.0,5.9,17.2,1,0.9946415246951927,0.10338393178837009,0.9945218953682733,0.10452846326765368
1013.0,27.8,25.8,23.7,20.6,74.0,88.0,0.4,16.0,1,0.9962778199420265,0.08620037988061954,0.7431448254773941,0.6691306063588582
1012.2,27.1,25.9,24.2,22.6,86.0,84.0,1.6,17.5,1,0.9976172723012476,0.06899114440432505,0.9945218953682733,0.10452846326765368
1016.8,25.1,23.1,22.9,22.0,87.0,82.0,2.1,32.5,1,0.9986594826804561,0.051761352884209494,0.9945218953682733,0.10452846326765368
1010.1,27.2,24.8,23.3,21.6,91.0,88.0,0.3,19.6,1,0.9994041405510704,0.034516138969707996,0.8660254037844387,0.4999999999999999
1014.6,28.2,24.5,22.3,22.0,87.0,81.0,4.8,8.9,1,0.9998510240408494,0.017260640905388574,0.7431448254773941,0.6691306063588582
1013.1,28.2,24.1,22.0,22.9,89.0,81.0,1.2,31.8,1,1.0,6.123233995736766e-17,0.9945218953682733,0.10452846326765368
1016.0,26.3,23.9,22.2,20.4,90.0,88.0,0.7,28.5,1,0.9998510240408495,-0.017260640905388452,0.5877852522924731,0.8090169943749475
1015.0,26.2,24.9,22.2,19.8,92.0,85.0,0.2,28.0,1,0.9994041405510705,-0.03451613896970788,0.9945218953682734,-0.10452846326765333
1011.4,26.8,24.4,23.6,22.6,91.0,80.0,1.0,34.2,1,0.9986594826804561,-0.05176135288420937,-0.9945218953682734,-0.10452846326765336
1009.2,28.2,26.7,25.3,23.1,87.0,86.0,0.3,12.0,0,0.9976172723012476,-0.06899114440432493,0.8660254037844386,-0.5000000000000002
1008.6,29.1,26.6,25.4,24.2,93.0,85.0,0.9,19.0,1,0.9962778199420265,-0.08620037988061942,-0.9945218953682734,-0.10452846326765336
1011.4,28.2,24.8,22.3,23.7,84.0,85.0,2.4,14.7,1,0.9946415246951927,-0.10338393178836998,0.9510565162951536,-0.30901699437494734
1015.2,25.9,23.4,22.8,21.2,81.0,81.0,3.9,21.2,1,0.992708874098054,-0.12053668025532288,-0.20791169081775987,0.9781476007338056
1017.1,26.9,25.8,25.4,19.7,78.0,85.0,0.3,18.2,1,0.9904804439875632,-0.1376535145871683,0.9945218953682733,0.10452846326765368
1013.0,28.6,26.7,24.3,23.2,87.0,83.0,2.2,24.0,1,0.9879568983287464,-0.15472933479028134,0.9945218953682733,0.10452846326765368
1016.8,29.6,25.8,23.3,22.1,86.0,83.0,3.5,9.8,1,0.9851389890168738,-0.17175905309127593,0.5877852522924731,0.8090169943749475
1013.4,30.2,26.8,24.8,23.4,85.0,78.0,2.1,24.9,1,0.9820275556534304,-0.18873759545291657,0.9945218953682733,0.10452846326765368
1015.8,29.6,26.5,23.7,23.2,86.0,83.0,3.9,24.4,0,0.9786235252959553,-0.2056599030859365,-0.4067366430758002,-0.9135454576426009
1008.3,28.9,26.9,24.3,24.8,87.0,82.0,1.6,23.7,1,0.9749279121818236,-0.22252093395631456,-0.8660254037844388,-0.4999999999999996
1008.9,28.0,27.8,25.2,25.2,89.0,88.0,0.4,34.2,1,0.970941817426052,-0.2393156642875577,0.9945218953682733,0.10452846326765368
1010.3,30.2,26.9,24.2,22.7,84.0,84.0,2.2,15.1,1,0.9666664286932195,-0.2560390900575471,-0.9945218953682733,0.10452846326765387
1008.9,31.2,28.0,24.7,25.0,81.0,88.0,0.6,28.4,1,0.9621030198436006,-0.27268622848949375,-0.9510565162951536,0.30901699437494723
1011.4,27.6,25.5,24.4,24.8,79.0,80.0,4.5,12.4,1,0.9572529505536158,-0.28925211953656743,0.9510565162951535,0.30901699437494745
1010.1,30.6,28.1,26.8,25.1,89.0,89.0,2.0,21.4,1,0.9521176659107142,-0.3057318273597527,0.40673664307580043,-0.9135454576426008
1010.9,30.6,28.7,26.3,25.3,86.0,84.0,2.3,18.8,1,0.946698695982806,-0.32212044179849064,-0.5877852522924734,0.8090169943749473
1009.8,28.7,25.4,23.9,22.1,87.0,84.0,2.9,14.5,1,0.9409976553623765,-0.33841307983367047,0.7431448254773941,0.6691306063588582
1011.4,26.2,24.0,22.4,23.4,82.0,83.0,2.1,11.9,1,0.9350162426854148,-0.35460488704253545,0.9945218953682733,0.10452846326765368
1009.8,28.7,26.7,25.3,24.3,84.0,87.0,0.6,15.7,1,0.9287562401253023,-0.3706910390450674,0.9510565162951536,-0.30901699437494734
1008.3,31.0,28.6,26.9,24.9,81.0,83.0,3.0,9.2,1,0.9222195128618104,-0.38666674294141873,-0.9945218953682734,-0.10452846326765336
1008.8,29.7,25.8,24.2,22.6,89.0,88.0,1.3,28.8,1,0.9154080085253663,-0.40252723873996765,0.40673664307580015,0.9135454576426009
1012.2,25.8,23.7,22.4,22.3,89.0,81.0,1.2,39.5,1,0.9083237566167539,-0.4182678007755653,0.9945218953682734,-0.10452846326765333
1011.1,28.2,25.5,23.3,19.3,82.0,81.0,4.3,31.8,0,0.9009688679024191,-0.43388373911755806,0.7431448254773941,0.6691306063588582
1013.5,27.3,25.5,23.3,20.6,73.0,64.0,6.3,29.6,0,0.8933455337855633,-0.449370400967161,0.5877852522924732,-0.8090169943749473
1007.9,31.2,28.1,26.4,24.3,85.0,90.0,3.9,23.3,1,0.8854560256532099,-0.4647231720437685,0.40673664307580043,-0.9135454576426008
1006.8,31.0,28.1,26.8,25.0,84.0,84.0,2.6,14.5,1,0.8773026941994421,-0.47993747795978614,-0.9945218953682734,-0.10452846326765336
1005.9,29.2,27.4,25.5,24.0,89.0,88.0,1.2,15.8,1,0.8688879687250065,-0.49500878558358136,0.40673664307580043,-0.9135454576426008
1009.5,30.9,27.1,26.3,24.0,89.0,88.0,1.4,15.1,1,0.8602143564135007,-0.5099326043901357,-0.9945218953682733,0.10452846326765387
1010.9,29.8,26.5,24.3,23.3,83.0,85.0,3.5,14.2,1,0.8512844415843512,-0.524704487799008,-0.7431448254773944,-0.6691306063588581
1012.0,26.4,24.9,23.2,21.7,84.0,82.0,0.3,14.0,1,0.8421008849228119,-0.5393200344991991,0.9945218953682733,0.10452846326765368
1012.5,27.9,25.8,24.4,23.1,82.0,88.0,1.6,39.3,1,0.8326664226872066,-0.5537748897605328,0.9945218953682734,-0.10452846326765333
1008.8,31.0,28.1,26.2,25.0,81.0,80.0,3.7,20.5,1,0.8229838658936565,-0.5680647467311557,0.9945218953682734,-0.10452846326765333
1011.4,30.7,27.9,26.4,25.6,89.0,89.0,1.2,22.5,1,0.8130560994785324,-0.5821853477207708,-0.8660254037844388,-0.4999999999999996
1009.5,30.1,28.9,26.3,24.3,84.0,70.0,3.3,15.3,1,0.8028860814388825,-0.5961324854692253,-0.9945218953682733,0.10452846326765387
1011.2,31.6,28.7,26.3,25.4,81.0,88.0,0.1,26.1,1,0.7924768419510906,-0.6099020044000726,-0.8660254037844388,-0.4999999999999996
1008.7,31.4,28.2,26.1,25.1,82.0,75.0,9.1,21.8,0,0.7818314824680299,-0.6234898018587335,0.5877852522924732,-0.8090169943749473
1012.4,31.3,28.8,26.1,22.7,81.0,87.0,2.1,19.2,1,0.7709531747949795,-0.6368918293348893,0.40673664307580015,0.9135454576426009
1008.3,33.0,30.1,28.0,25.1,75.0,68.0,10.0,19.3,1,0.7598451601445788,-0.6501040936687442,-0.9945218953682733,0.10452846326765387
1005.9,31.0,28.8,27.3,20.7,77.0,59.0,7.5,9.8,0,0.7485107481711013,-0.663122658240795,0.9945218953682733,0.10452846326765368
1009.3,32.3,30.2,27.4,25.9,86.0,88.0,0.6,13.4,1,0.7369533159843368,-0.6759436441447543,-0.9945218953682734,-0.10452846326765336
1006.6,32.0,29.4,27.6,26.0,89.0,88.0,2.5,26.4,1,0.7251763071433767,-0.6885632313432769,-0.8660254037844388,-0.4999999999999996
1008.5,32.2,29.0,27.0,25.3,79.0,79.0,7.0,16.4,1,0.7131832306305962,-0.7009776598061495,-0.9945218953682734,-0.10452846326765336
1006.6,32.3,29.6,28.7,25.7,84.0,77.0,6.3,15.4,1,0.7009776598061496,-0.7131832306305961,-0.9945218953682734,-0.10452846326765336
1008.4,32.6,29.7,26.4,25.7,81.0,69.0,7.8,34.0,1,0.688563231343277,-0.7251763071433766,-0.9945218953682734,-0.10452846326765336
1008.0,32.8,29.9,26.7,26.7,89.0,74.0,6.1,15.8,1,0.6759436441447545,-0.7369533159843367,-0.9945218953682733,0.10452846326765387
1007.6,32.7,29.0,27.0,26.0,76.0,46.0,10.0,9.4,0,0.6631226582407954,-0.7485107481711009,-0.9945218953682734,-0.10452846326765336
1009.1,32.8,30.0,26.4,25.2,74.0,28.0,11.1,19.0,0,0.6501040936687443,-0.7598451601445787,-0.9945218953682734,-0.10452846326765336
1008.5,30.4,27.4,25.3,24.2,74.0,57.0,9.1,11.9,0,0.6368918293348891,-0.7709531747949797,-0.9945218953682734,-0.10452846326765336
1005.2,31.5,28.3,26.9,25.8,87.0,83.0,6.9,14.1,1,0.6234898018587336,-0.7818314824680297,0.9510565162951535,0.30901699437494745
1008.7,33.0,30.2,28.4,25.7,78.0,53.0,10.0,10.9,0,0.609902004400073,-0.7924768419510902,-0.9945218953682734,-0.10452846326765336
1008.7,32.1,29.8,27.5,25.5,81.0,83.0,3.0,52.8,1,0.5961324854692254,-0.8028860814388824,0.40673664307580043,-0.9135454576426008
1005.6,32.8,29.0,27.0,25.0,74.0,38.0,11.9,8.3,0,0.5821853477207709,-0.8130560994785323,-0.8660254037844388,-0.4999999999999996
1008.5,33.3,30.1,28.0,24.3,79.0,69.0,10.7,7.9,0,0.5680647467311558,-0.8229838658936564,-0.9945218953682734,-0.10452846326765336
1010.3,31.2,28.1,25.8,23.1,79.0,49.0,9.8,14.5,0,0.5537748897605332,-0.8326664226872063,0.40673664307580015,0.9135454576426009
1006.4,34.0,30.1,28.4,25.8,77.0,23.0,10.4,15.7,0,0.5393200344991992,-0.8421008849228118,-0.9510565162951536,0.30901699437494723
1009.8,34.4,30.1,28.8,24.7,74.0,29.0,11.4,12.6,1,0.5247044877990081,-0.8512844415843511,-0.8660254037844388,-0.4999999999999996
1008.9,34.0,30.6,26.7,25.9,81.0,79.0,4.8,25.0,1,0.5099326043901362,-0.8602143564135004,-0.9945218953682734,-0.10452846326765336
1006.6,33.2,30.8,28.0,25.3,77.0,29.0,11.0,14.5,0,0.4950087855835815,-0.8688879687250065,-0.9945218953682733,0.10452846326765387
1009.4,32.0,29.0,27.0,24.5,76.0,44.0,10.7,40.8,0,0.47993747795978625,-0.8773026941994421,-0.9945218953682734,-0.10452846326765336
1006.8,31.9,29.3,26.2,24.2,81.0,77.0,6.7,7.9,1,0.4647231720437687,-0.8854560256532098,-0.9510565162951535,-0.30901699437494756
1008.7,32.9,29.1,27.1,25.3,78.0,78.0,9.1,19.0,1,0.44937040096716163,-0.8933455337855629,-0.9510565162951536,0.30901699437494723
1005.9,34.7,30.1,28.5,25.4,79.0,88.0,0.4,15.3,1,0.43388373911755823,-0.900968867902419,0.8660254037844387,0.4999999999999999
1008.1,31.7,28.9,26.2,25.8,81.0,78.0,4.6,21.9,1,0.41826780077556547,-0.9083237566167538,-0.9945218953682733,0.10452846326765387
1009.5,30.8,28.9,27.4,25.1,86.0,67.0,5.7,11.1,1,0.4025272387399676,-0.9154080085253663,0.7431448254773942,-0.6691306063588582
1008.4,32.6,30.7,28.4,25.4,86.0,78.0,2.3,14.1,1,0.38666674294141873,-0.9222195128618104,-0.9945218953682733,0.10452846326765387
1008.1,31.7,29.5,27.5,25.5,84.0,63.0,8.9,14.0,0,0.37069103904506756,-0.9287562401253023,0.40673664307580043,-0.9135454576426008
1007.5,32.0,30.1,29.0,25.6,84.0,88.0,1.5,29.2,1,0.35460488704253584,-0.9350162426854147,-0.9945218953682734,-0.10452846326765336
1006.6,31.0,29.3,27.1,25.3,79.0,77.0,4.6,13.9,1,0.33841307983367047,-0.9409976553623765,-0.9945218953682734,-0.10452846326765336
1006.9,32.2,29.0,27.6,25.3,82.0,78.0,6.6,14.5,1,0.3221204417984908,-0.9466986959828059,-0.9945218953682734,-0.10452846326765336
1009.9,32.6,29.7,27.4,26.1,79.0,73.0,9.4,31.9,1,0.3057318273597533,-0.952117665910714,-0.9510565162951535,-0.30901699437494756
1007.9,33.0,30.1,27.8,25.8,78.0,67.0,10.6,14.5,1,0.2892521195365682,-0.9572529505536156,-0.9945218953682734,-0.10452846326765336
1008.4,31.2,29.0,27.2,25.3,90.0,77.0,2.7,9.1,1,0.2726862284894937,-0.9621030198436006,0.40673664307580043,-0.9135454576426008
1007.2,33.2,29.6,26.9,25.0,85.0,88.0,2.4,25.1,1,0.2560390900575468,-0.9666664286932196,-0.9510565162951536,0.30901699437494723
1002.5,33.5,30.0,27.8,26.0,89.0,88.0,2.0,10.9,1,0.23931566428755768,-0.970941817426052,-0.9945218953682734,-0.10452846326765336
1006.3,29.1,27.9,26.6,25.8,89.0,88.0,0.5,20.9,1,0.2225209339563145,-0.9749279121818236,-0.9945218953682733,0.10452846326765387
1003.8,33.1,30.1,27.1,26.1,80.0,83.0,0.5,27.9,1,0.20565990308593646,-0.9786235252959553,-0.9945218953682734,-0.10452846326765336
1002.8,33.7,30.0,26.1,24.7,89.0,78.0,2.1,9.2,1,0.18873759545291677,-0.9820275556534303,-0.9945218953682734,-0.10452846326765336
1009.9,35.2,30.0,28.5,24.7,78.0,44.0,10.1,12.4,1,0.17175905309127631,-0.9851389890168738,-0.9510565162951536,0.30901699437494723
1006.8,31.6,29.2,27.3,25.3,86.0,86.0,1.0,31.2,1,0.15472933479028128,-0.9879568983287464,0.9945218953682734,-0.10452846326765333
1009.3,31.2,28.1,26.2,25.3,78.0,47.0,9.1,17.2,0,0.13765351458716846,-0.9904804439875632,-0.8660254037844388,-0.4999999999999996
1007.5,32.8,30.1,28.0,25.6,79.0,72.0,7.1,30.3,0,0.1205366802553235,-0.992708874098054,-0.9945218953682734,-0.10452846326765336
1008.6,32.9,29.7,27.4,25.8,91.0,87.0,0.2,26.3,1,0.10338393178837038,-0.9946415246951926,-0.9945218953682733,0.10452846326765387
1008.4,32.0,29.4,27.5,26.2,82.0,84.0,6.4,16.9,1,0.08620037988061938,-0.9962778199420265,-0.9945218953682733,0.10452846326765387
1007.9,30.6,28.4,26.7,25.8,82.0,84.0,1.3,14.5,1,0.06899114440432466,-0.9976172723012476,-0.8660254037844388,-0.4999999999999996
1006.8,31.2,29.0,26.1,25.4,80.0,88.0,1.2,26.4,1,0.051761352884209334,-0.9986594826804562,-0.7431448254773944,-0.6691306063588581
1008.4,29.0,28.2,26.8,25.0,84.0,88.0,0.5,19.8,1,0.03451613896970828,-0.9994041405510704,-0.7431448254773944,-0.6691306063588581
1010.6,31.1,28.9,26.7,25.6,84.0,84.0,4.4,16.5,1,0.017260640905388414,-0.9998510240408495,-0.7431448254773944,-0.6691306063588581
